"ManagementGroup";"Subscription";"DisplayName";"SignInName";"ObjectType";"RoleDefinitionName";"Resource1";"Resource2";"Scope"
"";"contoso - Dev - Default";"TV";"tv@contoso.com";"User";"Grafana Viewer";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-monitoring-grafana-01/providers/Microsoft.Dashboard";"/grafana/dev-frc-azmg-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-monitoring-grafana-01/providers/Microsoft.Dashboard/grafana/dev-frc-azmg-01"
"";"contoso - Dev - Default";"elisa labelle";"elisa.labelle@contoso.com";"User";"Key Vault Administrator";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.KeyVault";"/vaults/XMCO";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.KeyVault/vaults/XMCO"
"";"contoso - Dev - Default";"";"";"Unknown";"Key Vault Secrets User";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.KeyVault";"/vaults/XMCO";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.KeyVault/vaults/XMCO"
"";"contoso - Dev - Default";"sentinel-yuno-ioc-automation";"";"ServicePrincipal";"Key Vault Secrets User";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.KeyVault";"/vaults/XMCO";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.KeyVault/vaults/XMCO"
"";"contoso - Dev - Default";"sentinel-yuno-phishing-automation";"";"ServicePrincipal";"Log Analytics Reader";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.OperationalInsights";"/workspaces/dev-security-sentinel-law-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.OperationalInsights/workspaces/dev-security-sentinel-law-01"
"";"contoso - Dev - Default";"Azure Security Insights";"";"ServicePrincipal";"Microsoft Sentinel Automation Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/rg-dev-security-sentinel-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01"
"";"contoso - Dev - Default";"Microsoft Threat Protection";"";"ServicePrincipal";"Microsoft Sentinel Contributor";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"WindowsDefenderATP";"";"ServicePrincipal";"Microsoft Sentinel Contributor";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"sentinel-yuno-ioc-automation";"";"ServicePrincipal";"Microsoft Sentinel Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.OperationalInsights";"/workspaces/dev-security-sentinel-law-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.OperationalInsights/workspaces/dev-security-sentinel-law-01"
"";"contoso - Dev - Default";"";"";"Unknown";"Microsoft Sentinel Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.OperationalInsights";"/workspaces/dev-security-sentinel-law-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01/providers/Microsoft.OperationalInsights/workspaces/dev-security-sentinel-law-01"
"";"contoso - Dev - Default";"sentinel-yuno-phishing-automation";"";"ServicePrincipal";"Microsoft Sentinel Responder";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/rg-dev-security-sentinel-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01"
"";"contoso - Dev - Default";"SENTINEL - ServiceNow automation";"";"ServicePrincipal";"Microsoft Sentinel Responder";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/rg-dev-security-sentinel-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01"
"";"contoso - Dev - Default";"dev-frc-azmg-01";"";"ServicePrincipal";"Monitoring Reader";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"AZ - OWNER - Security Team";"";"Group";"Owner";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/rg-dev-security-sentinel-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01"
"";"contoso - Dev - Default";"elisa labelle";"elisa.labelle@contoso.com";"User";"Owner";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"sahidsapin";"sahid.sapin@contoso.com";"User";"Owner";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"jean martin";"jean.martin.vg_outlook.com#EXT#@jeanmartinvgoutlook.onmicrosoft.com";"User";"Owner";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"jean martin";"jean.martin@contoso.com";"User";"Owner";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"arthur guyo";"arthur.guyo@contoso.com";"User";"Owner";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"dsc-dev-fr-automation";"";"ServicePrincipal";"Reader";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"Windows 365";"";"ServicePrincipal";"Reader";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"jean martin";"jean.martin@contoso.com";"User";"Virtual Machine Administrator Login";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-admin-01/providers/Microsoft.Network";"/networkInterfaces/vm-adm-gbr161_z1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-admin-01/providers/Microsoft.Network/networkInterfaces/vm-adm-gbr161_z1"
"";"contoso - Dev - Default";"jean martin";"jean.martin@contoso.com";"User";"Virtual Machine Administrator Login";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/RG-DEV-ADMIN-01/providers/Microsoft.Compute";"/virtualMachines/VM-ADM-GBR";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/RG-DEV-ADMIN-01/providers/Microsoft.Compute/virtualMachines/VM-ADM-GBR"
"";"contoso - Dev - Default";"Windows 365";"";"ServicePrincipal";"Windows 365 Network Interface Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/dev-rg-poc-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/dev-rg-poc-01"
"";"contoso - Dev - Default";"Windows 365";"";"ServicePrincipal";"Windows 365 Network Interface Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/rg-dev-network-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-network-01"
"";"contoso - Dev - Default";"Windows 365";"";"ServicePrincipal";"Windows 365 Network Interface Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/rg-dev-w365cloudpc-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-w365cloudpc-01"
"";"contoso - Dev - Default";"Windows 365";"";"ServicePrincipal";"Windows 365 Network User";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-network-01/providers/Microsoft.Network";"/virtualNetworks/vnet_hub";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-network-01/providers/Microsoft.Network/virtualNetworks/vnet_hub"
"";"contoso - Dev - Default";"Windows 365";"";"ServicePrincipal";"Windows 365 Network User";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-network-01/providers/Microsoft.Network";"/virtualNetworks/vnet_spoke-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-network-01/providers/Microsoft.Network/virtualNetworks/vnet_spoke-01"
"contoso_dev";"";"dsc-dev-fr-automation";"";"ServicePrincipal";"Management Group Reader";"/providers/Microsoft.Management";"/managementGroups/contoso_dev";"/providers/Microsoft.Management/managementGroups/contoso_dev"
"contoso_dev";"";"david dubois (Externe)";"david.dubois@contoso.com";"User";"Management Group Reader";"/providers/Microsoft.Management";"/managementGroups/contoso_dev";"/providers/Microsoft.Management/managementGroups/contoso_dev"
"contoso_dev";"";"arthur guyo";"arthur.guyo@contoso.com";"User";"Owner";"/providers/Microsoft.Management";"/managementGroups/contoso_dev";"/providers/Microsoft.Management/managementGroups/contoso_dev"
"contoso_dev";"";"jean martin";"jean.martin@contoso.com";"User";"Owner";"/providers/Microsoft.Management";"/managementGroups/contoso_dev";"/providers/Microsoft.Management/managementGroups/contoso_dev"
"contoso_dev";"";"martin jean - Admin";"gmartin.75a982_contoso.com#EXT#@jeanmartinvgoutlook.onmicrosoft.com";"User";"Owner";"/providers/Microsoft.Management";"/managementGroups/contoso_dev";"/providers/Microsoft.Management/managementGroups/contoso_dev"
"contoso_dev";"";"dsc-dev-fr-automation";"";"ServicePrincipal";"Reader";"/providers/Microsoft.Management";"/managementGroups/contoso_dev";"/providers/Microsoft.Management/managementGroups/contoso_dev"
